,year,artist,track,time,date.entered,wk1,wk2,wk3
246,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,2000-02-26,87,82.0,72.0
287,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,2000-09-02,91,87.0,92.0
24,2000,3 Doors Down,Kryptonite,3:53,2000-04-08,81,70.0,68.0
193,2000,3 Doors Down,Loser,4:24,2000-10-21,76,76.0,72.0
69,2000,504 Boyz,Wobble Wobble,3:35,2000-04-15,57,34.0,25.0
22,2000,98ยก,Give Me Just One Night (Una Noche),3:24,2000-08-19,51,39.0,34.0
304,2000,A*Teens,Dancing Queen,3:44,2000-07-08,97,97.0,96.0
14,2000,Aaliyah,Try Again,4:03,2000-03-18,59,53.0,38.0
135,2000,Aaliyah,I Don't Wanna,4:15,2000-01-29,84,62.0,51.0
200,2000,"Adams, Yolanda",Open My Heart,5:30,2000-08-26,76,76.0,74.0
227,2000,"Adkins, Trace",More,3:05,2000-04-29,84,84.0,75.0
26,2000,"Aguilera, Christina",I Turn To You,4:00,2000-04-15,50,39.0,30.0
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-08-05,57,47.0,45.0
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-11-27,71,51.0,28.0
109,2000,Alice Deejay,Better Off Alone,6:50,2000-04-08,79,65.0,53.0
268,2000,"Allan, Gary",Smoke Rings In The Dark,4:18,2000-01-22,80,78.0,76.0
157,2000,Amber,Sexual (Li Da Di),4:38,1999-07-17,99,99.0,96.0
301,2000,Anastacia,I'm Outta Love,4:01,2000-04-01,92,,
21,2000,"Anthony, Marc",You Sang To Me,3:50,2000-02-26,77,54.0,50.0
238,2000,"Anthony, Marc",My Baby You,3:59,2000-09-16,82,76.0,76.0
102,2000,Avant,My First Love,4:28,2000-11-04,70,62.0,56.0
89,2000,Avant,Separated,4:13,2000-04-29,62,32.0,30.0
62,2000,BBMak,Back Here,3:35,2000-04-29,99,86.0,60.0
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,2000-01-01,74,62.0,55.0
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,2000-10-14,39,25.0,24.0
121,2000,"Backstreet Boys, The",The One,3:46,2000-05-27,58,50.0,43.0
44,2000,"Badu, Erkyah",Bag Lady,5:03,2000-08-19,67,53.0,42.0
154,2000,Baha Men,Who Let The Dogs Out,3:17,2000-07-22,99,92.0,85.0
67,2000,Barenaked Ladies,Pinch Me,3:46,2000-09-09,77,76.0,69.0
189,2000,Beenie Man,Girls Dem Sugar,4:17,2000-10-21,72,72.0,63.0
270,2000,Before Dark,Monica,4:04,2000-05-20,95,87.0,80.0
255,2000,"Bega, Lou",Tricky Tricky ,3:23,2000-01-29,75,74.0,87.0
256,2000,Big Punisher,It's So Hard,3:25,2000-04-22,96,87.0,75.0
161,2000,Black Rob,Whoa!,4:04,2000-03-04,78,59.0,53.0
163,2000,"Black, Clint",Been There,5:28,2000-02-19,87,73.0,62.0
34,2000,Blaque,Bring It All To Me,3:46,1999-10-23,73,63.0,50.0
220,2000,"Blige, Mary J.",Deep Inside,5:26,1999-11-13,83,80.0,80.0
233,2000,"Blige, Mary J.",Give Me You,5:00,2000-04-15,97,94.0,77.0
42,2000,Blink-182,All The Small Things,2:52,1999-12-04,89,76.0,69.0
185,2000,Bloodhound Gang,The Bad Touch,4:20,2000-03-18,70,62.0,55.0
130,2000,Bon Jovi,It's My Life,3:44,2000-08-12,64,58.0,51.0
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,2000-03-18,63,55.0,48.0
308,2000,"Braxton, Toni",Spanish Guitar,4:24,2000-12-02,98,98.0,98.0
127,2000,"Braxton, Toni",Just Be A Man About It,4:10,2000-07-29,76,69.0,51.0
86,2000,"Brock, Chad",Yes!,3:22,2000-04-08,90,77.0,66.0
260,2000,"Brock, Chad",A Country Boy Can Survive,3:54,2000-01-01,93,75.0,92.0
194,2000,Brooks & Dunn,You'll Always Be Loved By Me,2:58,2000-06-10,95,85.0,85.0
236,2000,"Brooks, Garth",Do What You Gotta Do,2:56,2000-02-19,86,81.0,72.0
262,2000,"Byrd, Tracy",Put Your Hand In Mine,4:30,2000-01-29,81,77.0,76.0
261,2000,"Cagle, Chris",My Love Goes On And On,3:02,2000-10-21,99,94.0,94.0
280,2000,Cam'ron,What Means The World To You,4:38,2000-10-14,94,94.0,96.0
114,2000,"Carey, Mariah",Crybaby,5:19,2000-06-24,28,34.0,48.0
16,2000,"Carey, Mariah",Thank God I Found You,4:14,1999-12-11,82,68.0,50.0
137,2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,2000-08-26,99,75.0,57.0
286,2000,"Carter, Torrey",Take That,3:43,2000-06-24,94,88.0,86.0
222,2000,Changing Faces,That Other Woman,4:00,2000-09-30,80,72.0,66.0
132,2000,"Chesney, Kenny",I Lost It,3:54,2000-10-21,75,67.0,61.0
195,2000,"Chesney, Kenny",What I Need To Do,4:05,2000-04-01,79,74.0,68.0
275,2000,Clark Family Experience,Meanwhile Back At The Ranch,2:56,2000-11-18,87,86.0,81.0
259,2000,"Clark, Terri",A Little Gasoline,3:07,2000-12-16,75,82.0,88.0
164,2000,Common,The Light,3:55,2000-08-05,75,55.0,53.0
112,2000,Counting Crows,Hanginaround,4:07,1999-11-06,84,70.0,66.0
13,2000,Creed,With Arms Wide Open,3:52,2000-05-13,84,78.0,76.0
46,2000,Creed,Higher,5:16,1999-09-11,81,77.0,73.0
274,2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,2000-09-23,97,97.0,97.0
100,2000,D'Angelo,Untitled (How Does It Feel),7:10,2000-01-22,77,56.0,35.0
240,2000,D'Angelo,Left & Right,4:35,1999-12-11,93,77.0,75.0
105,2000,DMX,Party Up (Up In Here),3:45,2000-02-26,88,74.0,62.0
230,2000,DMX,What's My Name,3:50,2000-01-15,98,76.0,69.0
173,2000,DMX,What You Want,4:05,2000-07-01,98,95.0,95.0
104,2000,Da Brat,What'Chu Like,3:57,2000-06-03,71,65.0,54.0
197,2000,Da Brat,That's What I'm Looking For,3:44,2000-02-26,93,73.0,60.0
172,2000,"Davidson, Clay",Unconditional,3:56,2000-03-25,97,97.0,97.0
306,2000,De La Soul,All Good?,5:02,2000-12-23,96,96.0,100.0
0,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,78,63.0,49.0
6,2000,Destiny's Child,Say My Name,4:31,1999-12-25,83,83.0,44.0
23,2000,Destiny's Child,Jumpin' Jumpin',3:48,2000-05-13,74,71.0,65.0
203,2000,"Diffie, Joe",It's Always Somethin',2:55,2000-08-12,81,78.0,67.0
296,2000,"Diffie, Joe",The Quittin' Kind,3:23,2000-01-01,98,100.0,100.0
41,2000,"Dion, Celine",That's The Way It Is,4:03,1999-11-13,74,68.0,65.0
74,2000,"Dixie Chicks, The",Goodbye Earl,4:19,2000-03-18,40,29.0,24.0
124,2000,"Dixie Chicks, The",Without You,3:32,2000-10-07,80,70.0,63.0
106,2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,1999-11-27,79,72.0,70.0
228,2000,"Dixie Chicks, The",Cold Day In July,5:12,2000-06-24,80,79.0,76.0
99,2000,Dr. Dre,Forgot About Dre,3:42,2000-01-22,75,55.0,47.0
92,2000,Dr. Dre,The Next Episode,2:38,2000-05-27,78,67.0,58.0
248,2000,Drama,"Left, Right, Left",3:37,2000-02-12,100,98.0,89.0
19,2000,Dream,He Loves U Not,3:43,2000-09-30,99,92.0,81.0
315,2000,"Eastsidaz, The",Got Beef,3:58,2000-07-01,99,99.0,
168,2000,"Eastsidaz, The",G'D Up,4:27,2000-01-08,77,77.0,89.0
43,2000,Eiffel 65,Blue (Da Ba Dee),3:29,1999-12-11,67,29.0,16.0
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,1999-11-27,36,21.0,13.0
178,2000,Eminem,Stan,5:26,2000-11-04,78,67.0,57.0
206,2000,Eminem,The Way I Am,4:40,2000-08-26,87,74.0,59.0
31,2000,Eminem,The Real Slim Shady,4:42,2000-05-06,70,32.0,20.0
299,2000,En Vogue,Riddle,5:10,2000-06-17,92,92.0,97.0
271,2000,"Estefan, Gloria",No Me Dejes De Querer,3:25,2000-06-10,77,,
131,2000,"Evans, Sara",Born To Fly,5:36,2000-10-21,77,71.0,64.0
289,2000,Eve,Got It All,3:48,2000-07-15,89,88.0,88.0
134,2000,Eve,Love Is Blind,3:51,2000-01-08,94,91.0,57.0
53,2000,Everclear,Wonderful,4:30,2000-07-08,77,69.0,53.0
129,2000,"Fabian, Lara",I Will Love Again,3:43,2000-06-10,91,80.0,75.0
265,2000,Fatboy Slim,The Rockafeller Skank,4:00,1999-11-13,94,94.0,94.0
59,2000,Filter,Take A Picture,4:23,1999-11-27,91,74.0,64.0
73,2000,Foo Fighters,Learn To Fly,3:55,1999-10-16,80,69.0,68.0
316,2000,Fragma,Toca's Miracle,3:22,2000-10-28,99,,
297,2000,Funkmaster Flex,Do You,4:14,2000-11-11,92,92.0,95.0
312,2000,Ghostface Killah,Cherchez LaGhost,3:04,2000-08-05,98,,
183,2000,"Gill, Vince",Feels Like Love,4:13,2000-09-02,82,76.0,74.0
148,2000,"Gilman, Billy",One Voice,4:07,2000-06-17,86,86.0,82.0
269,2000,Ginuwine,The Best Man I Can Be,4:06,2000-01-08,97,97.0,83.0
171,2000,Ginuwine,None Of Ur Friends Business,4:12,1999-12-11,94,84.0,71.0
97,2000,Goo Goo Dolls,Broadway,3:54,2000-04-22,74,58.0,53.0
36,2000,"Gray, Macy",I Try,3:52,2000-02-19,68,51.0,47.0
143,2000,"Griggs, Andy",She's More,3:19,2000-03-11,81,76.0,69.0
75,2000,Guy,Dancin',4:08,1999-12-18,46,29.0,19.0
80,2000,Hanson,This Time Around,4:14,2000-04-22,22,22.0,20.0
295,2000,"Hart, Beth",L.A. Song,3:47,1999-11-27,99,100.0,98.0
177,2000,"Heatherly, Eric",Flowers On The Wall,3:16,2000-04-29,95,88.0,88.0
205,2000,"Henley, Don",Taking You Home,4:08,2000-06-24,79,77.0,74.0
300,2000,"Herndon, Ty",No Mercy,4:43,2000-03-18,100,99.0,99.0
190,2000,"Hill, Faith",Let's Make Love,4:11,2000-08-12,83,83.0,73.0
17,2000,"Hill, Faith",Breathe,4:04,1999-11-06,81,68.0,62.0
110,2000,Hoku,Another Dumb Blonde,3:47,2000-02-19,69,49.0,49.0
282,2000,"Hollister, Dave",Can't Stay,6:17,2000-03-25,84,84.0,93.0
225,2000,Hot Boys,I Need A Hot Girl,4:16,2000-02-19,77,75.0,71.0
239,2000,"Houston, Whitney","Same Script, Different Cast",4:45,2000-06-17,71,71.0,71.0
27,2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,81,68.0,44.0
111,2000,"Houston, Whitney",I Learned From The Best,4:18,2000-02-19,83,83.0,83.0
184,2000,"Houston, Whitney",Could I Have This Kiss Forever,3:54,2000-06-17,74,68.0,68.0
91,2000,IMx,Stay The Night,3:37,1999-10-09,84,61.0,45.0
139,2000,Ice Cube,You Can Do It,4:20,1999-12-04,86,66.0,50.0
169,2000,Ideal,Whatever,3:48,2000-06-10,75,75.0,67.0
7,2000,"Iglesias, Enrique",Be With You,3:36,2000-04-01,63,45.0,34.0
128,2000,"Iglesias, Enrique",Rhythm Divine,7:35,1999-12-04,90,84.0,79.0
133,2000,J-Shin,One Night Stand,4:34,1999-12-25,96,96.0,69.0
54,2000,Ja Rule,Between Me And You,4:05,2000-09-16,85,74.0,61.0
162,2000,"Jackson, Alan",Pop A Top,3:04,1999-11-13,79,73.0,70.0
166,2000,"Jackson, Alan",www.memory,2:36,2000-11-04,75,59.0,59.0
142,2000,"Jackson, Alan",It Must Be Love,2:53,2000-06-24,76,74.0,68.0
58,2000,Jagged Edge,Let's Get Married,4:23,2000-05-06,77,66.0,55.0
68,2000,Jagged Edge,He Can't Love U,3:30,1999-12-11,54,32.0,17.0
5,2000,Janet,Doesn't Really Matter,4:17,2000-06-17,59,52.0,43.0
226,2000,Jay-Z,Do It Again (Put Ya Hands Up),3:47,2000-01-15,95,68.0,65.0
71,2000,Jay-Z,Big Pimpin',3:55,2000-04-22,69,52.0,39.0
264,2000,Jay-Z,Hey Papi,3:40,2000-08-12,98,100.0,98.0
192,2000,Jay-Z,Anything,3:41,2000-02-26,72,58.0,55.0
57,2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,2000-10-28,58,45.0,35.0
145,2000,"Jean, Wyclef",911,4:00,2000-10-07,77,74.0,64.0
28,2000,Joe,I Wanna Know,4:57,2000-01-01,94,86.0,69.0
219,2000,Joe,Treat Her Like A Lady,4:12,2000-08-05,77,75.0,63.0
174,2000,"John, Elton",Someday Out Of The Blue,4:41,2000-04-22,56,56.0,49.0
118,2000,"Jones, Donell",Where I Wanna Be,6:22,2000-04-22,81,71.0,65.0
29,2000,"Jordan, Montell",Get It On.. Tonite,4:34,1999-10-23,92,80.0,72.0
281,2000,Juvenile,U Understand,3:51,2000-02-05,85,83.0,100.0
95,2000,Kandi,Don't Think I'm Not,3:50,2000-08-05,66,66.0,66.0
188,2000,"Keith, Toby",Country Comes To Town,3:39,2000-08-05,82,78.0,75.0
122,2000,"Keith, Toby",How Do You Like Me Now?!,3:29,2000-01-29,77,72.0,59.0
191,2000,Kelis,Caught Out There,4:09,1999-12-04,84,68.0,67.0
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,1999-12-25,89,89.0,7.0
72,2000,Kid Rock,Only God Knows Why,5:27,2000-02-19,63,47.0,46.0
241,2000,"Kravitz, Lenny",I Belong To You,4:17,2000-03-25,78,77.0,71.0
218,2000,Kumbia Kings,U Don't Love Me,3:50,2000-03-04,81,64.0,62.0
213,2000,LFO,I Don't Wanna Kiss You Goodnight,5:00,2000-04-15,63,61.0,68.0
284,2000,LFO,West Side Story,3:27,2000-08-05,96,84.0,88.0
310,2000,LL Cool J,Imagine That,4:00,2000-08-12,99,98.0,
307,2000,"Larrieux, Amel",Get Up,4:02,2000-03-04,100,97.0,97.0
151,2000,"Lawrence, Tracy",Lessons Learned,2:55,2000-01-29,80,73.0,61.0
266,2000,"Levert, Gerald",Mr. Too Damn Good,4:06,2000-03-18,84,83.0,83.0
294,2000,"Levert, Gerald",Baby U Are,4:10,2000-08-19,96,89.0,92.0
76,2000,Lil Bow Wow,Bounce With Me,3:22,2000-08-19,48,35.0,24.0
245,2000,Lil Wayne,Tha Block Is Hot,4:13,1999-12-04,99,89.0,92.0
212,2000,Lil' Kim,No Matter What They Say,4:12,2000-07-15,80,72.0,67.0
258,2000,Lil' Kim,How Many Licks?,3:50,2000-11-25,79,75.0,77.0
303,2000,Lil' Mo,Ta Da,4:17,2000-08-12,100,99.0,97.0
83,2000,Lil' Zane,Callin' Me,3:43,2000-07-29,83,89.0,57.0
249,2000,Limp Bizkit,N 2 Gether Now,3:55,1999-12-04,94,88.0,85.0
290,2000,Limp Bizkit,Re-Arranged,4:08,1999-12-04,91,91.0,90.0
224,2000,Limp Bizkit,Rollin',4:04,2000-11-11,77,73.0,72.0
9,2000,Lonestar,Amazed,4:25,1999-06-05,81,54.0,44.0
149,2000,Lonestar,Smile,3:33,1999-12-18,89,80.0,80.0
120,2000,Lonestar,What About Now,3:30,2000-06-10,78,72.0,66.0
180,2000,"Lopez, Jennifer",Feelin' Good,4:28,2000-02-19,79,79.0,66.0
242,2000,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,2000-09-16,98,93.0,93.0
250,2000,Lox,"Ryde or Die, Chick",3:56,2000-03-18,86,73.0,80.0
141,2000,Lucy Pearl,Dance Tonight,3:45,2000-05-20,80,75.0,63.0
82,2000,Ludacris,What's Your Fantasy,4:16,2000-09-30,89,83.0,63.0
217,2000,M2M,Mirror Mirror,3:19,2000-04-01,87,87.0,94.0
84,2000,M2M,Don't Say You Love Me,3:41,1999-11-20,72,53.0,62.0
288,2000,Madison Avenue,Don't Call Me Baby,3:44,2000-07-08,98,96.0,93.0
117,2000,Madonna,American Pie,4:30,2000-02-19,43,35.0,29.0
3,2000,Madonna,Music,3:45,2000-08-12,41,23.0,18.0
87,2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,1999-11-20,74,66.0,52.0
60,2000,"Martin, Ricky",She Bangs,4:02,2000-10-07,38,28.0,21.0
231,2000,"Martin, Ricky",Private Emotion,4:02,2000-03-11,76,67.0,71.0
113,2000,Mary Mary,Shackles (Praise You),3:12,2000-03-25,90,76.0,72.0
311,2000,Master P,Souljas,3:33,2000-11-18,98,,
156,2000,"McBride, Martina",Love's The Only House,5:13,2000-02-05,79,69.0,65.0
210,2000,"McBride, Martina",There You Are,3:26,2000-09-09,79,75.0,75.0
126,2000,"McEntire, Reba",What Do You Say,3:26,1999-10-30,88,76.0,71.0
179,2000,"McEntire, Reba",I'll Be,4:23,2000-05-13,89,79.0,79.0
115,2000,"McGraw, Tim",My Best Friend,4:33,1999-11-27,85,76.0,71.0
107,2000,"McGraw, Tim",My Next Thirty Years,3:37,2000-10-21,73,62.0,56.0
204,2000,"McGraw, Tim",Some Things Never Change,3:56,2000-05-13,76,66.0,66.0
267,2000,"McKnight, Brian",Stay Or Let It Go,4:32,2000-02-26,95,92.0,82.0
101,2000,"Messina, Jo Dee",That's The Way,3:17,2000-06-24,78,67.0,63.0
187,2000,"Messina, Jo Dee",Because You Love Me,3:50,2000-01-29,83,78.0,71.0
263,2000,Metallica,I Disappear,4:26,2000-05-13,86,84.0,88.0
253,2000,Metallica,No Leaf Clover (Live),5:43,2000-02-12,86,81.0,78.0
273,2000,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,2000-03-04,87,83.0,81.0
136,2000,"Montgomery, John Michael",The Little Girl,3:52,2000-09-09,81,67.0,64.0
279,2000,"Moore, Chante",Straight Up,3:40,2000-10-28,98,98.0,97.0
98,2000,"Moore, Mandy",I Wanna Be With You,4:12,2000-06-17,69,63.0,54.0
33,2000,"Mumba, Samantha",Gotta Tell You,3:19,2000-09-09,85,72.0,65.0
125,2000,Musiq,Just Friends (Sunny),4:02,2000-10-14,89,83.0,65.0
176,2000,Mya,The Best Of Me,4:12,2000-04-15,85,70.0,65.0
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,2000-08-19,72,57.0,52.0
61,2000,Mystikal,Shake Ya Ass,4:46,2000-08-12,97,90.0,65.0
30,2000,N'Sync,Bye Bye Bye,3:15,2000-01-29,42,20.0,19.0
37,2000,N'Sync,This I Promise You,4:23,2000-09-30,68,31.0,19.0
10,2000,N'Sync,It's Gonna Be Me,3:10,2000-05-06,82,70.0,51.0
207,2000,Nas,You Owe Me,3:51,2000-03-25,74,72.0,68.0
47,2000,Nelly,(Hot S**t) Country Grammar,4:17,2000-04-29,100,99.0,96.0
48,2000,Next,Wifey,4:03,2000-05-27,85,61.0,46.0
40,2000,Nine Days,Absolutely (Story Of A Girl),3:09,2000-05-06,85,71.0,59.0
232,2000,Nine Days,If I Am,4:18,2000-12-02,68,68.0,81.0
144,2000,No Doubt,Simple Kind Of Life,4:11,2000-07-01,50,40.0,39.0
292,2000,Nu Flavor,3 Little Words,3:54,2000-06-03,97,97.0,89.0
237,2000,"Offspring, The",Original Prankster,3:42,2000-11-25,74,71.0,70.0
119,2000,"Paisley, Brad",We Danced,3:45,2000-10-14,71,68.0,52.0
285,2000,"Paisley, Brad",Me Neither,3:19,2000-05-13,87,85.0,90.0
199,2000,Papa Roach,Last Resort,3:19,2000-07-29,75,71.0,69.0
175,2000,Pearl Jam,Nothing As It Seems,5:20,2000-05-13,49,70.0,84.0
32,2000,Pink,Most Girls,4:06,2000-08-12,85,70.0,52.0
45,2000,Pink,There U Go,3:23,2000-03-04,25,15.0,12.0
298,2000,"Price, Kelly",Love Sets You Free,3:46,2000-05-13,92,91.0,98.0
221,2000,"Price, Kelly",You Should've Told Me,3:12,2000-09-23,91,91.0,91.0
229,2000,"Price, Kelly",As We Lay,6:20,2000-07-15,82,69.0,69.0
66,2000,Profyle,Liar,3:57,2000-09-16,52,32.0,25.0
209,2000,Puff Daddy,Best Friend,5:33,2000-02-12,65,59.0,62.0
243,2000,Q-Tip,Breathe And Stop,4:06,2000-01-22,71,71.0,81.0
202,2000,R.E.M.,The Great Beyond,4:10,1999-12-25,79,79.0,70.0
146,2000,Rascal Flatts,Prayin' For Daylight,3:36,2000-05-06,87,78.0,72.0
160,2000,"Raye, Collin",Couldn't Last A Moment,3:40,2000-03-18,91,85.0,75.0
234,2000,Red Hot Chili Peppers,Californication,5:21,2000-07-29,72,72.0,72.0
65,2000,Red Hot Chili Peppers,Otherside,4:13,2000-02-12,80,72.0,65.0
244,2000,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,2000-09-09,82,71.0,79.0
55,2000,"Rimes, LeAnn",I Need You,3:42,2000-05-27,77,68.0,67.0
90,2000,"Rimes, LeAnn",Big Deal,3:03,1999-10-16,71,52.0,51.0
150,2000,"Rogers, Kenny",Buy Me A Rose,3:46,2000-03-11,79,72.0,65.0
38,2000,Ruff Endz,No More,3:56,2000-07-01,76,38.0,19.0
96,2000,Sammie,I Like It,4:09,2000-01-29,85,68.0,58.0
1,2000,Santana,"Maria, Maria",4:18,2000-02-12,15,8.0,6.0
94,2000,Savage Garden,Crash And Burn,4:41,2000-04-08,75,58.0,51.0
2,2000,Savage Garden,I Knew I Loved You,4:07,1999-10-23,71,48.0,43.0
159,2000,SheDaisy,I Will.. But,3:40,2000-07-15,78,74.0,70.0
214,2000,SheDaisy,Deck The Halls,3:46,1999-12-25,97,61.0,
198,2000,SheDaisy,This Woman Needs,3:20,2000-02-05,82,70.0,70.0
305,2000,"Sheist, Shade",Where I Wanna Be,4:16,2000-11-11,96,95.0,99.0
201,2000,Shyne,Bad Boyz,4:22,2000-09-09,94,87.0,90.0
81,2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,2000-07-01,63,52.0,44.0
216,2000,"Simpson, Jessica",Where You Are,3:51,2000-04-01,73,66.0,62.0
153,2000,Sisqo,Got To Get It,3:52,1999-11-20,92,76.0,73.0
25,2000,Sisqo,Thong Song,4:05,2000-01-29,74,63.0,35.0
8,2000,Sisqo,Incomplete,3:52,2000-06-24,77,66.0,61.0
208,2000,Sister Hazel,Change Your Mind,4:02,2000-07-15,75,67.0,66.0
56,2000,Smash Mouth,Then The Morning Comes,3:04,1999-10-30,83,59.0,56.0
313,2000,"Smith, Will",Freakin' It,3:58,2000-02-12,99,99.0,99.0
103,2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,2000-04-08,80,80.0,80.0
50,2000,Sonique,It Feels So Good,3:48,2000-01-22,67,52.0,30.0
85,2000,SoulDecision,Faded,3:25,2000-07-08,94,90.0,81.0
63,2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,2000-01-29,76,59.0,52.0
93,2000,"Spears, Britney",Lucky,3:23,2000-08-12,61,41.0,28.0
51,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,2000-04-22,67,38.0,26.0
291,2000,"Spencer, Tracie",Still In My Heart,4:11,2000-03-04,95,88.0,98.0
215,2000,Splender,I Think God Can Explain,3:55,2000-06-10,71,66.0,62.0
70,2000,Sting,Desert Rose,3:52,2000-05-13,98,88.0,72.0
272,2000,Stone Temple Pilots,Sour Girl,4:16,2000-07-08,79,79.0,79.0
196,2000,"Stone, Angie",No More Rain (In This Cloud),4:42,1999-12-25,86,86.0,74.0
123,2000,"Strait, George",The Best Day,3:24,2000-01-29,73,64.0,54.0
152,2000,"Strait, George",Go On,3:48,2000-08-26,71,67.0,63.0
116,2000,Sugar Ray,Falls Apart,4:15,2000-01-15,70,64.0,54.0
182,2000,TLC,Dear Lie,4:36,2000-02-12,63,55.0,52.0
293,2000,Tamar,If You Don't Wanna Love Me,4:02,2000-03-25,98,98.0,92.0
283,2000,Tamia,Can't Go For That,3:38,2000-09-16,90,86.0,84.0
64,2000,Third Eye Blind,Never Let You Go,3:57,2000-01-22,65,32.0,25.0
235,2000,Third Eye Blind,Deep Inside Of You,4:10,2000-09-02,80,73.0,70.0
170,2000,"Thomas, Carl",Emotional,4:31,2000-11-25,77,63.0,61.0
79,2000,"Thomas, Carl",I Wish,3:50,2000-03-25,75,64.0,48.0
276,2000,"Thomas, Carl",Summer Rain,4:57,2000-09-23,82,82.0,86.0
158,2000,"Tippin, Aaron",Kiss This,2:53,2000-08-26,74,72.0,66.0
78,2000,Train,Meet Virginia,3:55,1999-10-09,76,67.0,59.0
278,2000,Trick Daddy,Shut Up,4:17,2000-05-20,99,95.0,87.0
302,2000,Trina,Pull Over,2:58,2000-09-09,97,93.0,96.0
108,2000,"Tritt, Travis",Best Of Intentions,4:15,2000-08-19,97,86.0,79.0
309,2000,Tuesday,I Know,4:06,2000-12-30,98,98.0,
181,2000,"Urban, Keith",Your Everything,4:10,2000-07-15,81,80.0,73.0
211,2000,Usher,Pop Ya Collar,3:36,2000-11-04,68,64.0,60.0
138,2000,"Vassar, Phil",Just Another Day In Paradise,3:54,2000-09-30,81,81.0,76.0
165,2000,"Vassar, Phil",Carlene,4:07,2000-03-04,75,67.0,64.0
88,2000,Vertical Horizon,You're A God,3:45,2000-08-26,64,55.0,43.0
12,2000,Vertical Horizon,Everything You Want,4:01,2000-01-22,70,61.0,53.0
147,2000,Vitamin C,Graduation (Friends Forever),4:23,2000-04-15,81,64.0,54.0
167,2000,Vitamin C,The Itch,3:30,2000-12-02,86,48.0,45.0
155,2000,"Walker, Clay",The Chain Of Love,5:03,2000-04-15,73,65.0,57.0
252,2000,"Walker, Clay","Live, Laugh, Love",4:06,1999-12-04,95,95.0,94.0
247,2000,"Wallflowers, The",Sleepwalker,3:29,2000-10-28,73,73.0,74.0
77,2000,Westlife,Swear It Again,4:07,2000-04-01,96,82.0,66.0
186,2000,"Williams, Robbie",Angels,3:56,1999-11-20,85,77.0,69.0
140,2000,"Wills, Mark",Back At One,4:00,2000-01-15,89,55.0,51.0
257,2000,"Worley, Darryl",When You Need My Love,3:35,2000-06-17,98,88.0,93.0
223,2000,"Wright, Chely",It Was,3:51,2000-03-04,86,78.0,75.0
254,2000,Yankee Grey,Another Nine Minutes,3:10,2000-04-29,86,83.0,77.0
277,2000,"Yearwood, Trisha",Real Live Woman,3:55,2000-04-01,85,83.0,83.0
251,2000,Ying Yang Twins,Whistle While You Twurk,4:19,2000-03-18,95,94.0,91.0
314,2000,Zombie Nation,Kernkraft 400,3:30,2000-09-02,99,99.0,
15,2000,matchbox twenty,Bent,4:12,2000-04-29,60,37.0,29.0
